time,name,air_Pressure_mH2O,air_Temp_float,batt,channel_rssi,data_rate_index,dev_id,device_id,dist,forwarder_gateway_id,recieved_time,rssi,snr,spreading_factor,timestamp,wat_Pressure_mH2o,wat_Temp_float,wat_level_mH2o
2021-07-10 22:08:30.484161074,,10.284543991088867,25.714588165283203,4.188,-31,2,,,59.5,,,-31,9.5,10,,,,
2021-07-10 22:38:28.852560733,,10.283492088317873,25.49910926818848,4.19,-30,2,,,59.4,,,-30,12.8,10,,,,
2021-07-10 23:08:28.663616919,,10.28357982635498,25.14875221252441,4.189,-31,2,,,59.6,,,-31,14.0,10,,,,
2021-07-10 23:38:27.850650246,,10.283242225646973,24.757089614868164,4.19,-29,2,,,59.7,,,-29,9.2,10,,,,
2021-07-11 00:08:26.258027212,,10.283297538757324,24.541606903076172,4.19,-30,2,,,59.6,,,-30,13.0,10,,,,
2021-07-11 00:38:26.286755468,,10.2832612991333,24.256330490112305,4.186,-28,2,,,59.7,,,-28,11.5,10,,,,
2021-07-11 01:08:26.320907441,,10.283273696899414,24.25900650024414,4.191,-30,2,,,59.6,,,-30,14.2,10,,,,
2021-07-11 01:38:25.535884541,,10.2860107421875,24.10558891296387,4.188,-30,2,,,59.5,,,-30,8.8,10,,,,
2021-07-11 02:08:23.831561221,,10.286514282226562,24.000080108642575,4.191,-31,2,,,59.6,,,-31,10.0,10,,,,
2021-07-11 02:38:23.139824864,,10.287335395812988,23.627063751220703,4.189,-30,2,,,59.5,,,-30,7.8,10,,,,
2021-07-11 03:08:23.238105768,,10.28800106048584,23.493898391723636,4.189,-31,2,,,59.6,,,-31,13.2,10,,,,
2021-07-11 03:38:21.645230000,,10.290212631225586,23.717103958129886,4.188,-30,2,,,59.6,,,-30,13.0,10,,,,
2021-07-11 04:08:22.455126082,,10.291004180908203,24.05596351623535,4.191,-29,2,,,59.4,,,-29,9.0,10,,,,
2021-07-11 04:38:20.424112734,,10.291200637817383,24.37643241882324,4.19,-31,2,,,59.3,,,-31,10.0,10,,,,
2021-07-11 05:08:20.162172840,,10.292552947998047,24.82669258117676,4.187,-30,2,,,59.4,,,-30,12.8,10,,,,
2021-07-11 05:38:20.961986542,,10.29407787322998,25.07935333251953,4.192,-30,2,,,59.5,,,-30,9.0,10,,,,
2021-07-11 06:08:18.479292960,,10.296607971191406,25.834983825683594,4.185,-30,2,,,59.4,,,-30,7.0,10,,,,
2021-07-11 06:38:19.236713214,,10.297897338867188,26.084980010986328,4.191,-30,2,,,59.5,,,-30,9.2,10,,,,
2021-07-11 07:08:18.882964400,,10.299436569213867,26.315587997436523,4.188,-33,2,,,59.4,,,-33,9.8,10,,,,
2021-07-11 07:38:16.255986133,,10.30198574066162,26.25604248046875,4.188,-31,2,,,59.5,,,-31,12.0,10,,,,
2021-07-11 08:08:16.710007681,,10.305795669555664,26.00290679931641,4.187,-29,2,,,59.5,,,-29,9.2,10,,,,
